"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DYHF","DYTS","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"72506454769","2025-01-01T00:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.61","42","46","0.00",,"+0.18","8","86","29.62","FEW:02 41 BKN:07 55 OVC:08 80","29.45","10.00","44","090","23","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13501/01/25 00:52:02 METAR KPYM 010552Z 09012G20KT 10SM FEW041 BKN055 OVC080 08/06 A2961 RMK AO2 PRESFR SLP031 T00780056 10078 20011 58061","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
"72506454769","2025-01-01T01:42:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.60","43","46","0.03","-RA:02 |RA |RA",,,"89",,"BKN:07 26 OVC:08 37","29.44","9.00","45","100","25","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12901/01/25 01:42:02 SPECI KPYM 010642Z 10011G22KT 9SM -RA BKN026 OVC037 08/06 A2960 RMK AO2 PK WND 09026/0612 RAB09 P0003 T00780061","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
"72506454769","2025-01-01T01:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.60","43","47","0.03",,,,"86","29.61","BKN:07 24 OVC:08 30","29.44","10.00","45","110","25","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13601/01/25 01:52:02 METAR KPYM 010652Z 11016G22KT 10SM BKN024 OVC030 08/06 A2960 RMK AO2 PK WND 09026/0612 RAB09E44 SLP026 P0003 T00830061","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
"72506454769","2025-01-01T02:50:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.58","45","48",,"-RA:02 |RA |RA",,,"87",,"OVC:08 14","29.42","8.00","47","130",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/25 02:50:02 SPECI KPYM 010750Z 13008KT 8SM -RA OVC014 09/07 A2958 RMK AO2 RAB34 P0002 FIBI","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
"72506454769","2025-01-01T02:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.59","45","48","0.05","-RA:02 |RA |RA",,,"89","29.59","OVC:08 14","29.43","9.00","47","130",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10801/01/25 02:52:02 METAR KPYM 010752Z 13008KT 9SM -RA OVC014 09/07 A2959 RMK AO2 RAB34 SLP021 P0002 T00890072","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
"72506454769","2025-01-01T03:20:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.62","45","47","0.18","+RA:02 BR:1 |RA |RA",,,"93",,"BKN:07 8 OVC:08 12","29.46","2.50","46","230",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12801/01/25 03:20:02 SPECI KPYM 010820Z 23009KT 2 1/2SM +RA BR BKN008 OVC012 08/07 A2962 RMK AO2 CIG 006V010 PRESRR P0018 T00830072","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
"72506454769","2025-01-01T03:30:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.60","46","48","0.28","+RA:02 BR:1 |RA |RA",,,"93",,"SCT:04 6 BKN:07 10 OVC:08 60","29.44","3.00","47","VRB",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11201/01/25 03:30:02 SPECI KPYM 010830Z VRB06KT 3SM +RA BR SCT006 BKN010 OVC060 09/08 A2960 RMK AO2 P0028 T00890078","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
"72506454769","2025-01-01T03:41:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.58","46","48","0.34","+RA:02 BR:1 |RA |RA",,,"93",,"SCT:04 6 SCT:04 10 OVC:08 43","29.42","4.00","47","130","17","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11501/01/25 03:41:02 SPECI KPYM 010841Z 13005G15KT 4SM +RA BR SCT006 SCT010 OVC043 09/08 A2958 RMK AO2 P0034 T00890078","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
"72506454769","2025-01-01T03:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.58","46","48","0.41","RA:02 BR:1 |RA |RA","+0.04","6","93","29.58","BKN:07 47 OVC:08 60","29.42","5.00","47","VRB",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12301/01/25 03:52:02 METAR KPYM 010852Z VRB04KT 5SM RA BR BKN047 OVC060 09/08 A2958 RMK AO2 SLP018 P0039 60044 T00890078 56013","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
"72506454769","2025-01-01T04:01:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.57","46","48","0.06","+RA:02 BR:1 |RA |RA",,,"93",,"FEW:02 8 FEW:02 27 OVC:08 45","29.41","4.00","47","160",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11201/01/25 04:01:02 SPECI KPYM 010901Z 16004KT 4SM +RA BR FEW008 FEW027 OVC045 09/08 A2957 RMK AO2 P0006 T00890078","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-10-20"
