"Summary of Standalone Base Compensation Rates by Service Territory, Generation Unit Capacity, and Capacity Block",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Electric Distribution Company,Generation Unit Capacity,Base Compensation Rate Factor,Term Length,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8,Block 9,Block 10,Block 11,Block 12,Block 13,Block 14,Block 15,Block 16
Fitchburg Gas & Electric d/b/a Unitil 1 2 ,Low income less than or equal to 25 kW AC,230%,10-year,$0.35795,$0.32645,$0.29772,$0.27152,$0.25062,$0.23132,$0.21351,$0.19707,Not Applicable,,,,,,,
,Less than or equal to 25 kW AC,200%,10-year,$0.31126,$0.28387,$0.25889,$0.23611,$0.21793,$0.20115,$0.18566,$0.17136,,,,,,,,
,Greater than 25 kW AC  to 250 kW AC,150%,20-year,$0.23345,$0.21290,$0.19417,$0.17708,$0.16344,$0.15086,$0.13924,$0.12852,,,,,,,,
,Greater than 250 kW AC to 500 kW AC,125%,20-year,$0.19454,$0.17742,$0.16181,$0.14757,$0.13620,$0.12572,$0.11604,$0.10710,,,,,,,,
,"Greater than 500 kW AC to 1,000 kW AC",110%,20-year,$0.17119,$0.15613,$0.14239,$0.12986,$0.11986,$0.11063,$0.10211,$0.09425,,,,,,,,
,"Greater than 1,000 kW AC to 5,000 kW AC",100%,20-year,$0.15563,$0.14193,$0.12944,$0.11805,$0.10896,$0.10057,$0.09283,$0.08568,,,,,,,,
Massachusetts Electric d/b/a National Grid 3,Low income less than or equal to 25 kW AC,230%,10-year,$0.35795,$0.34363,$0.32989,$0.31669,$0.30402,$0.29186,$0.28019,$0.26898,$0.25822,$0.24789,$0.23798,$0.22846,$0.21932,$0.21055,$0.20212,$0.19404
,Less than or equal to 25 kW AC,200%,10-year,$0.31126,$0.29881,$0.28686,$0.27538,$0.26437,$0.25379,$0.24364,$0.23390,$0.22454,$0.21556,$0.20694,$0.19866,$0.19071,$0.18308,$0.17576,$0.16873
,Greater than 25 kW AC  to 250 kW AC,150%,20-year,$0.23345,$0.22411,$0.21514,$0.20654,$0.19828,$0.19034,$0.18273,$0.17542,$0.16840,$0.16167,$0.15520,$0.14899,$0.14303,$0.13731,$0.13182,$0.12655
,Greater than 250 kW AC to 500 kW AC,125%,20-year,$0.19454,$0.18676,$0.17929,$0.17211,$0.16523,$0.15862,$0.15228,$0.14618,$0.14034,$0.13472,$0.12933,$0.12416,$0.11920,$0.11443,$0.10985,$0.10546
,"Greater than 500 kW AC to 1,000 kW AC",110%,20-year,$0.17119,$0.16435,$0.15777,$0.15146,$0.14540,$0.13959,$0.13400,$0.12864,$0.12350,$0.11856,$0.11381,$0.10926,$0.10489,$0.10070,$0.09667,$0.09280
,"Greater than 1,000 kW AC to 5,000 kW AC",100%,20-year,$0.15563,$0.14940,$0.14343,$0.13769,$0.13218,$0.12690,$0.12182,$0.11695,$0.11227,$0.10778,$0.10347,$0.09933,$0.09536,$0.09154,$0.08788,$0.08436
Nantucket Electric d/b/a National Grid 4 5,Low income less than or equal to 25 kW AC,230%,10-year,$0.39100,$0.32844,$0.27589,$0.23175,Not Applicable,,,,,,,,,,,
,Less than or equal to 25 kW AC,200%,10-year,$0.34000,$0.28560,$0.23990,$0.20152,,,,,,,,,,,,
,Greater than 25 kW AC  to 250 kW AC,150%,20-year,$0.25500,$0.21420,$0.17993,$0.15114,,,,,,,,,,,,
,Greater than 250 kW AC to 500 kW AC,125%,20-year,$0.21250,$0.17850,$0.14994,$0.12595,,,,,,,,,,,,
,"Greater than 500 kW AC to 1,000 kW AC",110%,20-year,$0.18700,$0.15708,$0.13195,$0.11084,,,,,,,,,,,,
,"Greater than 1,000 kW AC to 5,000 kW AC",100%,20-year,$0.17000,$0.14280,$0.11995,$0.10076,,,,,,,,,,,,
Eversource East d/b/a Eversource Energy 6 8 ,Low income less than or equal to 25 kW AC,230%,10-year,$0.39100,$0.37536,$0.36035,$0.34593,$0.33209,$0.31881,$0.30606,$0.29382,$0.28206,$0.27078,$0.25995,$0.24955,$0.23957,$0.22999,$0.22079,$0.21196
,Less than or equal to 25 kW AC,200%,10-year,$0.34000,$0.32640,$0.31334,$0.30081,$0.28878,$0.27723,$0.26614,$0.25549,$0.24527,$0.23546,$0.22604,$0.21700,$0.20832,$0.19999,$0.19199,$0.18431
,Greater than 25 kW AC  to 250 kW AC,150%,20-year,$0.25500,$0.24480,$0.23501,$0.22561,$0.21658,$0.20792,$0.19960,$0.19162,$0.18395,$0.17660,$0.16953,$0.16275,$0.15624,$0.14999,$0.14399,$0.13823
,Greater than 250 kW AC to 500 kW AC,125%,20-year,$0.21250,$0.20400,$0.19584,$0.18801,$0.18049,$0.17327,$0.16634,$0.15968,$0.15330,$0.14716,$0.14128,$0.13563,$0.13020,$0.12499,$0.11999,$0.11519
,"Greater than 500 kW AC to 1,000 kW AC",110%,20-year,$0.18700,$0.17952,$0.17234,$0.16545,$0.15883,$0.15247,$0.14638,$0.14052,$0.13490,$0.12950,$0.12432,$0.11935,$0.11458,$0.10999,$0.10559,$0.10137
,"Greater than 1,000 kW AC to 5,000 kW AC",100%,20-year,$0.17000,$0.16320,$0.15667,$0.15041,$0.14439,$0.13861,$0.13307,$0.12775,$0.12264,$0.11773,$0.11302,$0.10850,$0.10416,$0.09999,$0.09599,$0.09215
Eversource West d/b/a Eversource Energy 7 8,Low income less than or equal to 25 kW AC,230%,10-year,$0.32862,$0.31548,$0.30286,$0.29075,$0.27912,$0.26795,$0.25723,$0.24694,$0.23707,$0.22758,$0.21848,$0.20974,$0.20135,$0.19330,$0.18557,$0.17814
,Less than or equal to 25 kW AC,200%,10-year,$0.28576,$0.27433,$0.26336,$0.25282,$0.24271,$0.23300,$0.22368,$0.21473,$0.20614,$0.19790,$0.18998,$0.18238,$0.17509,$0.16808,$0.16136,$0.15491
