Description,Assistance_Area,Tags,Resource_Type
"<strong><h5><a href=""/node/2490871"">Featured Resource: Current Practices in Efficiency Financing: An Overview for State and Local Governments</a></strong></h5><br>Provides guidance to state and local governments as they determine which financing program best suit their community’s needs.<br>REPORTS & GUIDES",Pay for Energy Initiatives; Develop an Energy Plan,Financing; Financing: On-Bill Financing; Financing: Property Assessed Clean Energy; Public-Private Partnerships; Financing: Revolving Loan Funds,Reports & Guides
"<strong><h5><a href=""/node/1892041"">Featured Resource: Best Practice Guidelines for Residential PACE Financing Programs</a></h5></strong><br>Establishes best practices for state and local governments as they explore implementing residential PACE programs in their communities.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy,Reports & Guides
"<strong><h5><a href=""/node/2501983"">Featured Resource: Toolkit: Energy Savings Performance Contracting</a></h5></strong><br>This toolkit capitalizes on the ESPC Accelerator that achieved public-sector energy efficiency investments of more than $2 billion in three years and provides decision making resources that were developed in collaboration with state and local partners from the ESPC Accelerator. Example: <a href=""https://betterbuildingssolutioncenter.energy.gov/espc/welcome"">Virtual Technical Assistant</a>, an interactive resource that guides users through the ESPC process.<br>TOOLS",Pay for Energy Initiatives,Financing; Financing: Energy Savings Performance Contracting,Tools
"<strong><a href=""/node/2603205"">List of State Contact Organizations for QECB Administrative Authority</a></strong><br>This resource lists the known contact organizations for qualified energy conservation bonds (QECB) administrative authority in each state as a means for peer-to-peer outreach and education.<br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing,Resource Summaries
"<strong><a href=""/node/2603213"">List of States Known to Have Retained and/or Waived Back QECB Allocations</a></strong><br>This resource lists the 31 states known to have retained and/or waived back their qualified energy conservation bond (QECB) allocations in excess of $10 million.<br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing,Resource Summaries
"<strong><a href=""/node/2730273"">Energy Efficiency Financing for Low and Moderate Income Households: Current State of the Market, Issues, and Opportunities</a></strong><br>This report aims to improve LMI stakeholders’ understanding of financing options for LMI communities.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: On-Bill Financing; Financing: Property Assessed Clean Energy,Reports & Guides
"<strong><a href=""/node/2368180"">Advancing Energy Efficiency in Mississippi’s Institutes of Higher Learning</a></strong><br>Institutes of Higher Learning (IHLs) represent over 40% of Mississippi’s public building portfolio, and a 20% reduction in energy consumption would result in substantial savings to the General Fund. With support from a State Energy Program Competitive Award, the Mississippi Development Authority launched an effort to develop a strategy for assessing the performance of buildings and prioritizing energy efficiency retrofit projects.<br>CASE STUDIES",Access and Use Energy Data; Design and Implement Energy Programs; Develop an Energy Plan; Pay for Energy Initiatives,Benchmarking; Data Access and Management; Energy Audits/Retrofits; Energy Management; Lighting; Strategic Energy Planning; Utilities,Case Studies
"<strong><a href=""/node/2282629"">Enhancing Energy Efficiency in the Illinois Public Sector</a></strong><br>The Illinois Department of Commerce and Economic Opportunity created and implemented the Illinois Energy Now Trade Ally Program to help the state meet a 20 percent reduction in public building energy consumption goal by 2020.<br>CASE STUDIES",Design and Implement Energy Programs,Energy Audits/Retrofits; Energy Management; Public-Private Partnerships,Case Studies
"<strong><a href=""/node/3342130"">Lessons in Commercial PACE Leadership: The Path from Legislation to Launch</a></strong><br>This resource from the U.S. Department of Energy and Lawrence Berkeley National Laboratory aims to fast track the set-up of commercial property assessed clean energy (C-PACE) programs for state and local governments by capturing the lessons learned from leaders.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy; Public-Private Partnerships,Reports & Guides
"<strong><a href=""/node/3379279"">Energy Savings Performance Contracting for Water Resource Recovery Facilities</a></strong><br>This guide was specifically developed to provide decision-makers at water resource recovery facilities (WRRFs) with information, examples and resources to consider the option of energy savings performance contracting to upgrade facilities with an emphasis on compliance.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Energy Savings Performance Contracting; Wastewater,Reports & Guides
