Year,Cost Type,Type,Scale,Metric,Value
2025,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.321
2024,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.4
2023,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.338190596
2022,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.659007061
2021,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.377703168
2020,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.464555324
2019,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.462826961
2018,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.552767197
2017,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.42074955
2016,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.788907391
2015,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.868035452
2014,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.884526727
2013,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),0.920229195
2012,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),1.332980204
2011,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),2.566621688
2010,Hardware,Module,Residential Rooftop,Cost (2024$/Wdc),3.056402038
2025,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.357
2024,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.37
2023,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.314097623
2022,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.474933704
2021,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.303877411
2020,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.286514678
2019,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.297552337
2018,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.246981088
2017,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.232581118
2016,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.264575484
2015,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.361335332
2014,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.38895126
2013,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.519130345
2012,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.550016103
2011,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.818779054
2010,Hardware,Inverter,Residential Rooftop,Cost (2024$/Wdc),0.549759681
